area,"poly(dist, 2, raw = TRUE)",mean_mx30_grd,GeologicalOrigin,"poly(dist, 1, raw = TRUE)",model
1.2307785549998378,1.2307785549998378,NA,NA,NA,Anagenesis all islands
1.2306852938868378,1.2306852938868378,NA,NA,NA,Anagenesis all islands
1.2298618493601365,1.2298618493601365,NA,NA,NA,Anagenesis all islands
1.2306068504022956,1.2306068504022956,NA,NA,NA,Anagenesis all islands
1.231096163006417,1.231096163006417,NA,NA,NA,Anagenesis all islands
1.2305955363176682,1.2305955363176682,NA,NA,NA,Anagenesis all islands
1.229765623092769,1.229765623092769,NA,NA,NA,Anagenesis all islands
1.2307768955007663,1.2307768955007663,NA,NA,NA,Anagenesis all islands
1.231258115256654,1.231258115256654,NA,NA,NA,Anagenesis all islands
1.231555592202761,1.231555592202761,NA,NA,NA,Anagenesis all islands
1.2313450359218865,1.2313450359218865,NA,NA,NA,Anagenesis all islands
1.2310296455659486,1.2310296455659486,NA,NA,NA,Anagenesis all islands
1.2303825942765487,1.2303825942765487,NA,NA,NA,Anagenesis all islands
1.2310359608597705,1.2310359608597705,NA,NA,NA,Anagenesis all islands
1.2300810613083755,1.2300810613083755,NA,NA,NA,Anagenesis all islands
1.2298862059303173,1.2298862059303173,NA,NA,NA,Anagenesis all islands
1.230661327348924,1.230661327348924,NA,NA,NA,Anagenesis all islands
1.2305627905514234,1.2305627905514234,NA,NA,NA,Anagenesis all islands
1.2308125271420667,1.2308125271420667,NA,NA,NA,Anagenesis all islands
1.230376553351172,1.230376553351172,NA,NA,NA,Anagenesis all islands
1.2304808625370502,1.2304808625370502,NA,NA,NA,Anagenesis all islands
1.2306477249591996,1.2306477249591996,NA,NA,NA,Anagenesis all islands
1.2300364714693661,1.2300364714693661,NA,NA,NA,Anagenesis all islands
1.2301126787931829,1.2301126787931829,NA,NA,NA,Anagenesis all islands
1.2310341905849926,1.2310341905849926,NA,NA,NA,Anagenesis all islands
1.2304626492189101,1.2304626492189101,NA,NA,NA,Anagenesis all islands
1.2307705400014823,1.2307705400014823,NA,NA,NA,Anagenesis all islands
1.2313776398331393,1.2313776398331393,NA,NA,NA,Anagenesis all islands
1.230351830341462,1.230351830341462,NA,NA,NA,Anagenesis all islands
1.230734771838106,1.230734771838106,NA,NA,NA,Anagenesis all islands
1.2302806351872992,1.2302806351872992,NA,NA,NA,Anagenesis all islands
1.2310733000638068,1.2310733000638068,NA,NA,NA,Anagenesis all islands
1.2307670839149047,1.2307670839149047,NA,NA,NA,Anagenesis all islands
1.229489589594865,1.229489589594865,NA,NA,NA,Anagenesis all islands
1.230407187635353,1.230407187635353,NA,NA,NA,Anagenesis all islands
1.2309648991675959,1.2309648991675959,NA,NA,NA,Anagenesis all islands
