term,estimate,std.error,statistic,p.value,conf.low_95,conf.high_95,type
Area,1.48370599836696,0.152035459992386,9.75894701434305,8.79253527608218e-13,1.20118820814566,1.80037002920811,Anagenesis
Area,1.48473789440483,0.15164758818174,9.79071221776021,7.94071462580848e-13,1.20292263372625,1.80055959709483,Anagenesis
Area,1.48009446543156,0.151532154258754,9.76752737840827,8.55371795561902e-13,1.19844385928877,1.7956237436123,Anagenesis
Area,1.48043535657251,0.151054292508975,9.80068379377269,7.69092158168968e-13,1.19962762963642,1.79490377137654,Anagenesis
Area,1.48193008595944,0.15237811163891,9.72534749263183,9.79449104828501e-13,1.19879699135514,1.7993451417159,Anagenesis
Area,1.48032113037628,0.152200162456635,9.72614684822073,9.76936127695329e-13,1.19748680795244,1.79732723732287,Anagenesis
Area,1.4787099219135,0.151426045600856,9.76522840602489,8.61705415923839e-13,1.19723561565571,1.79399354978255,Anagenesis
Area,1.48129536086012,0.151505511353213,9.77717145488322,8.2931164989469e-13,1.19970028426776,1.79677316861902,Anagenesis
Area,1.48582680294509,0.152170190691401,9.76424354989687,8.64433171242002e-13,1.20309167086506,1.80280782613467,Anagenesis
Area,1.48438822330116,0.152039218454102,9.76319293399465,8.67352693162441e-13,1.20187275469263,1.80106793527481,Anagenesis
Area,1.48548692350229,0.151932638885439,9.77727323371503,8.29040950717508e-13,1.20317085398263,1.80194281816855,Anagenesis
Area,1.48344704987325,0.151808575671339,9.77182641568857,8.4365414115893e-13,1.2013341263036,1.79961216348295,Anagenesis
Area,1.48029764723172,0.151666207538601,9.76023381381751,8.75629429054858e-13,1.19840656765689,1.79612065941439,Anagenesis
Area,1.48408469680026,0.151928000060836,9.76834221608918,8.53138257789459e-13,1.20175595933983,1.80050942209377,Anagenesis
Area,1.48229406404546,0.151961244720992,9.75442170644907,8.92119412213295e-13,1.1998950264114,1.79878168125008,Anagenesis
Area,1.47988616786914,0.151605802287029,9.76140850511338,8.72334264708547e-13,1.19809947010941,1.79557385958718,Anagenesis
Area,1.47974085763288,0.151165511153903,9.78887873521855,7.98753011560451e-13,1.19872845974752,1.79444792568377,Anagenesis
Area,1.48001471824806,0.151353353014473,9.77853935027487,8.25680949110665e-13,1.19867361044984,1.79514146447511,Anagenesis
Area,1.4840580040373,0.151874485394417,9.77160844484979,8.44244325380012e-13,1.20182479141436,1.80036542603929,Anagenesis
Area,1.48240440885489,0.151498078027707,9.78497171814796,8.08822427457236e-13,1.2008224673541,1.79786457058936,Anagenesis
Area,1.480273249633,0.151696821704878,9.75810325487787,8.81638097434687e-13,1.19832888009605,1.79616430700078,Anagenesis
Area,1.48109855684661,0.151581373126351,9.77097994495695,8.45948409890717e-13,1.19936616163301,1.7967418993808,Anagenesis
