term,estimate,std.error,statistic,p.value,conf.low_95,conf.high_95,type
Area,0.988601103424949,0.140059803384086,7.05842132816584,1.3618054925191e-10,0.717915335677866,1.26709556404964,Anagenesis
Area,0.990983321440823,0.140092669090954,7.07377001145888,1.26080806864392e-10,0.720225675737878,1.26953843724977,Anagenesis
Area,0.988430203706821,0.14024195145512,7.04803515247104,1.43465067268952e-10,0.717391296392907,1.26728778347794,Anagenesis
Area,0.989507387951847,0.139816853533385,7.07716818785063,1.23947026980078e-10,0.719283253945139,1.26751312240652,Anagenesis
Area,0.991193845112334,0.140318194977819,7.06390105195568,1.32486047383249e-10,0.72001462250853,1.27021167116396,Anagenesis
Area,0.988948908033905,0.140237594155307,7.05195289459037,1.40673069274262e-10,0.717907283703026,1.26778864099303,Anagenesis
Area,0.98920374405135,0.140125041669949,7.05943586001798,1.35488929787881e-10,0.718381573727445,1.2678203227872,Anagenesis
Area,0.991042631957438,0.140146362793467,7.07148307100863,1.27537250658606e-10,0.720188885615595,1.26971199210965,Anagenesis
Area,0.9900090009801,0.140062232565545,7.06835085265976,1.29559072344216e-10,0.719306686950971,1.26849945372441,Anagenesis
Area,0.989528418776751,0.139954297038096,7.07036825391219,1.28253250611363e-10,0.719038068333046,1.26780524940963,Anagenesis
Area,0.991103714849616,0.140157080876785,7.07137811839073,1.27604488222898e-10,0.720230258306127,1.26979423059823,Anagenesis
Area,0.990498748986028,0.140144773261423,7.06768241109054,1.29994636743197e-10,0.719637958650835,1.26915478349993,Anagenesis
Area,0.991242306100458,0.140133594244231,7.07355228734716,1.26218752885727e-10,0.720414356142481,1.26988666657235,Anagenesis
Area,0.990441994549193,0.140343725486216,7.05725882021332,1.36977343140788e-10,0.719210147190138,1.2695067133312,Anagenesis
Area,0.987443674743453,0.140027948034228,7.05176137053788,1.40808300813082e-10,0.716815366195254,1.26587046030403,Anagenesis
Area,0.991356553043772,0.140288930117691,7.06653441730652,1.30746068012826e-10,0.72023228759643,1.27031557914113,Anagenesis
Area,0.990551188459196,0.140172733183615,7.06664674335522,1.30672354459173e-10,0.719648208466465,1.26927431036806,Anagenesis
Area,0.988145247931751,0.139684713555439,7.07411156725873,1.25864703999207e-10,0.718171308615145,1.26587961334027,Anagenesis
Area,0.990736452613907,0.140227383358193,7.06521386114148,1.31615770786177e-10,0.719728208211496,1.26956940501474,Anagenesis
Area,0.989684632360988,0.140234371572506,7.05736133918699,1.36906890530084e-10,0.718658928660155,1.2685263978687,Anagenesis
Area,0.989956824492104,0.140091298450077,7.06651187792999,1.30760864353002e-10,0.719204026160924,1.26851036105216,Anagenesis
Area,0.99114411437827,0.139934915901629,7.08289355799538,1.20432520497199e-10,0.720696098740655,1.26938968174974,Anagenesis
Area,0.98945797561585,0.140143972805114,7.06029632106835,1.34905068183224e-10,0.718610464291697,1.26812289975609,Anagenesis
Area,0.988896998975126,0.140316804914519,7.04760202869185,1.4377708223978e-10,0.717713743201865,1.26790360669543,Anagenesis
Area,0.988298333464547,0.139886880362814,7.06498229784862,1.31768864692003e-10,0.717931646718823,1.26643447844142,Anagenesis
Area,0.990840466026347,0.140530195718866,7.05072999406156,1.41538751655859e-10,0.719263931023124,1.27029111703429,Anagenesis
Area,0.99113216083026,0.14022581418354,7.06811485888737,1.29712683428289e-10,0.720122354719242,1.26995857826765,Anagenesis
Area,0.990059834134595,0.139945228743361,7.07462371546959,1.25541353993608e-10,0.719594261394964,1.26832525000799,Anagenesis
Area,0.991077415120098,0.140206794154162,7.06868323392642,1.29343026897064e-10,0.720116258357147,1.26987503115808,Anagenesis
Area,0.989627893339215,0.140390094935086,7.04912902720666,1.42680039189596e-10,0.71830630264765,1.26878440459096,Anagenesis
Area,0.991200189775241,0.140171280316572,7.07135004786039,1.27622477466714e-10,0.720300149938794,1.26992105994648,Anagenesis
Area,0.990303284679747,0.140362216888602,7.05534086474068,1.38302027164061e-10,0.719048631209604,1.26941665783753,Anagenesis
Area,0.989745290077635,0.140123451355129,7.06338075822312,1.32832530177872e-10,0.718934035579536,1.26836597966286,Anagenesis
Area,0.989598561471441,0.140137343022052,7.06163353843323,1.34002645011436e-10,0.718764205223401,1.26825062877996,Anagenesis
Area,0.98980368775507,0.140167513479626,7.06157698872888,1.34040686375813e-10,0.71891493297092,1.26851938284233,Anagenesis
Area,0.988867357487648,0.139929519807651,7.06689595481324,1.30508957218348e-10,0.718416845421977,1.26708816967648,Anagenesis
Area,0.990830643827866,0.140201754108103,7.06717722706868,1.30324782037997e-10,0.719876976113819,1.26961627950316,Anagenesis
Area,0.991115403050212,0.140290467300934,7.0647380546833,1.31930532688592e-10,0.719986106106782,1.27007350427505,Anagenesis
Area,0.989322126847935,0.140325682320576,7.050185757072,1.4192570660444e-10,0.718125224591297,1.26834952782146,Anagenesis
Area,0.988846288208238,0.140334886789011,7.04633260363072,1.44695428638587e-10,0.717624745297893,1.26788746227222,Anagenesis
Area,0.991314723636288,0.140144130936763,7.0735372006666,1.26228317064273e-10,0.720468163576418,1.26998271052722,Anagenesis
Area,0.9879336853096,0.140260176673838,7.04357935900045,1.46707221056178e-10,0.716859528703941,1.26682680638954,Anagenesis
Area,0.991142603418366,0.14059010131463,7.04987473620396,1.42147313845122e-10,0.719443737574199,1.27070756923555,Anagenesis
Area,0.989146770900365,0.140139555590272,7.05829818522008,1.36264734859858e-10,0.718303751604358,1.2677995644007,Anagenesis
Area,0.98911581570087,0.140045055388656,7.06283997643367,1.33193607374746e-10,0.718455739226067,1.26757867477697,Anagenesis
